academic_period_encoded,is_exam_period,days_since_semester_start,sin_day,cos_day,sin_week,cos_week,temperature_2m_mean,pm2_5_mean,precipitation_sum,wind_speed_10m_mean,temperature_range,heat_humidity_index,pollution_respiratory_risk,temp_fever_risk,cold_weather_stress,respiratory_digestive_interaction,pain_fever_interaction,total_symptom_load,symptom_diversity,respiratory_dominance,visit_count_lag_1,visit_count_lag_3,visit_count_lag_7,visit_count_lag_14,respiratory_count_lag_1,respiratory_count_lag_3,respiratory_count_lag_7,respiratory_count_lag_14,fever_count_lag_1,fever_count_lag_3,fever_count_lag_7,fever_count_lag_14,visit_count_rolling_3d,visit_count_rolling_7d,visit_count_rolling_30d,respiratory_count_rolling_std_3d,target,date
2,False,598,0.9844738167520922,0.1755314904214282,0.4338837391175582,-0.900968867902419,25.53042,14.18,0.1,6.8621945,9.950001,17.939850836825997,0.0,0.0,0.0,0.0,0.0,2.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4285714285714285,0.3,0.0,dermatological,2024-03-21
1,False,631,0.9242907221930932,-0.3816892202666588,0.7818314824680298,0.6234898018587336,28.972086,8.44,13.9,4.2623944,12.05,21.99714784729176,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,0.0333333333333333,0.0,pain,2024-04-23
1,False,632,0.9175836260593936,-0.3975428142825559,0.9749279121818236,-0.2225209339563143,29.786667,10.82,0.1,5.72756,12.849999,21.5120053740675,10.82,0.0,0.0,0.0,0.0,3.0,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.5714285714285714,0.1333333333333333,0.5773502691896245,respiratory,2024-04-24
1,False,633,0.9106046300942162,-0.4132786077829042,0.4338837391175582,-0.900968867902419,30.199167,9.02,0.0,6.765623,12.599999999999998,20.67265374298128,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.7142857142857143,0.1666666666666666,0.5773502691896245,pain,2024-04-25
1,False,643,0.8263541987239096,-0.5631507242749186,-0.7818314824680299,0.6234898018587334,31.420004,5.55,0.0,7.9727254,12.049999999999995,18.28147922416816,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,0.2,0.0,pain,2024-05-05
1,True,647,0.7856498550787147,-0.6186714032625031,0.4338837391175582,-0.900968867902419,28.242918,7.21,1.5,7.354786,9.849999999999998,20.8146521108988,7.21,0.0,0.0,0.0,0.0,2.0,2,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.4285714285714285,0.2666666666666666,0.5773502691896245,respiratory,2024-05-09
1,True,648,0.7748840413670407,-0.6321034111873487,-0.433883739117558,-0.9009688679024191,27.23667,6.82,24.5,3.9683235,7.599999999999998,22.655925129390003,6.82,0.0,0.0,0.0,0.0,2.0,2,0.3333333333333333,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.3,0.5773502691896248,respiratory,2024-05-10
1,True,651,0.7412220108485958,-0.6712599575675313,0.0,1.0,27.890833,10.53,7.4999995,4.7468653,8.450000999999997,23.04154730058056,10.53,27.890833,0.0,0.0,0.0,3.0,3,0.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8571428571428571,0.4,0.5773502691896245,respiratory,2024-05-13
0,False,659,0.6420547132365637,-0.766658819300159,0.7818314824680298,0.6234898018587336,28.651253,9.73,2.8,4.5126114,10.35,22.9405196335436,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1428571428571428,0.4333333333333333,0.0,dermatological,2024-05-21
0,False,660,0.6287628145958344,-0.7775971469736269,0.9749279121818236,-0.2225209339563143,29.922081,7.3,0.1,5.9004045,9.900001999999995,21.259898872604698,21.9,0.0,0.0,0.0,0.0,3.0,1,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4285714285714285,0.5,1.7320508075688772,respiratory,2024-05-22
0,False,662,0.6016240632249226,-0.7987793728863649,-0.433883739117558,-0.9009688679024191,29.565832,8.77,1.5,6.9083915,9.000000000000004,22.07907327108112,0.0,29.565832,0.0,0.0,1.0,2.0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.7142857142857143,0.4333333333333333,1.732050807568877,pain,2024-05-24
0,False,665,0.5595892624101765,-0.8287700871745038,0.0,1.0,28.055414,8.09,0.2,4.6480327,9.35,23.292264005029,16.18,28.055414,0.0,2.0,0.0,10.0,6,0.1818181818181818,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.333333333333333,1.7142857142857142,0.6333333333333333,1.1547005383792508,dermatological,2024-05-27
0,False,666,0.545240438540651,-0.8382797052177744,0.7818314824680298,0.6234898018587336,28.324167,12.92,23.500002,4.9393487,9.650000000000002,24.4467358233684,12.92,28.324167,0.0,0.0,1.0,5.0,5,0.1666666666666666,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.333333333333333,2.0,0.7333333333333333,0.9999999999999992,respiratory,2024-05-28
0,False,667,0.5307300481619334,-0.8475409228928311,0.9749279121818236,-0.2225209339563143,29.36583,10.82,1.3000001,7.584341,8.949999999999996,22.390558526934,10.82,0.0,0.0,2.0,0.0,3.0,2,0.25,3.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.8,0.5773502691896248,digestive,2024-05-29
0,False,668,0.5160623910158528,-0.8565509959010036,0.4338837391175582,-0.900968867902419,30.038752,10.68,0.6,5.9892635,8.599999999999998,21.7294684682624,10.68,30.038752,0.0,3.0,1.0,8.0,6,0.1111111111111111,2.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.333333333333333,3.142857142857143,1.0666666666666669,0.0,digestive,2024-05-30
0,False,669,0.5012418134457758,-0.865307254363206,-0.433883739117558,-0.9009688679024191,29.905416,11.51,3.0999997,5.460756,10.250001999999997,22.2358999275144,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,8.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.6666666666666665,3.0,1.1,0.5773502691896243,pain,2024-05-31
0,False,672,0.4559066935084588,-0.8900275764346767,0.0,1.0,27.242918,9.73,21.500002,3.8527873,5.350000000000001,24.3544767218828,19.46,0.0,0.0,4.0,0.0,9.0,5,0.2,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.6666666666666665,3.142857142857143,1.3666666666666667,1.1547005383792508,pain,2024-06-03
