date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,sunshine_duration,wind_speed_10m_max,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_mean
2022-12-15 16:00:00+00:00,24.472086,28.2575,21.9575,20769.367,7.42159,6.2,91.67062,4.4821453
2022-12-16 16:00:00+00:00,24.201248,27.3075,22.6075,21085.572,16.73516,17.1,91.762726,8.037824
2022-12-17 16:00:00+00:00,22.559586,25.157501,21.407501,7000.884,21.602999,5.3,84.216576,18.154415
2022-12-18 16:00:00+00:00,22.759584,25.3575,21.2575,6660.449,17.414474,1.6000001,79.03936,15.561912
2022-12-19 16:00:00+00:00,22.707499,24.907501,21.4575,2224.4426,19.586117,21.4,87.241234,14.7949
2022-12-20 16:00:00+00:00,23.084585,25.4575,21.5075,4215.9653,24.087738,6.9999995,87.958046,15.302466
2022-12-21 16:00:00+00:00,22.617918,26.8575,20.0075,23679.719,14.007655,9.500001,82.1253,9.049669
2022-12-22 16:00:00+00:00,21.380415,24.1075,19.9575,28800.0,17.309973,2.4,78.90542,14.864923
2022-12-23 16:00:00+00:00,20.7575,22.157501,19.7575,464.6388,21.659916,0.3,72.53115,17.04387
2022-12-24 16:00:00+00:00,20.126253,22.157501,18.9575,4307.0093,16.595179,4.5,78.657745,11.000733
2022-12-25 16:00:00+00:00,20.7075,23.9575,18.2075,32881.418,10.787993,2.3,80.67405,7.8095474
2022-12-26 16:00:00+00:00,21.032501,24.8575,18.657501,32400.0,10.446206,2.9,82.494804,7.453401
2022-12-27 16:00:00+00:00,21.195,25.3575,19.157501,15909.4,12.88981,7.0,90.80484,9.034951
2022-12-28 16:00:00+00:00,21.728333,23.907501,20.4575,0.0,14.145756,19.4,93.3797,8.93665
2022-12-29 16:00:00+00:00,22.832499,26.2575,21.2075,28183.04,26.27753,2.2,85.52466,18.034672
2022-12-30 16:00:00+00:00,23.71375,26.2075,21.7075,9957.046,15.175612,2.2,84.98785,10.902438
2022-12-31 16:00:00+00:00,23.58042,26.657501,22.2575,9391.627,13.905509,38.100002,93.12485,8.870713
2023-01-01 16:00:00+00:00,23.865835,28.6075,21.7075,29782.244,15.778516,17.300001,92.3822,7.2020516
2023-01-02 16:00:00+00:00,23.115831,25.9575,21.7075,20355.887,14.007655,15.500001,92.79647,10.521474
2023-01-03 16:00:00+00:00,23.240831,26.907501,21.0575,31525.137,14.113652,9.700001,86.91386,9.804533
2023-01-04 16:00:00+00:00,22.409578,24.9575,21.0075,141.5886,15.137133,32.399998,94.79351,12.260636
2023-01-05 16:00:00+00:00,22.855417,25.3075,21.407501,0.0,12.7279215,47.3,94.123375,8.538249
2023-01-06 16:00:00+00:00,23.484587,27.4575,19.907501,35340.758,18.556595,0.1,79.94968,9.146289
2023-01-07 16:00:00+00:00,23.447083,27.3575,21.0075,25988.104,16.766108,0.4,76.47646,8.10954
2023-01-08 16:00:00+00:00,22.83667,26.407501,19.6075,31332.945,13.358861,0.0,78.307846,6.688774
2023-01-09 16:00:00+00:00,23.657501,26.8075,21.0075,35210.453,13.039754,0.1,76.64081,6.0644403
2023-01-10 16:00:00+00:00,23.851252,27.657501,21.3575,36004.426,15.39184,3.0,80.43751,8.070619
2023-01-11 16:00:00+00:00,23.911667,27.8575,19.9575,36071.766,14.799459,0.1,79.5884,6.7144217
2023-01-12 16:00:00+00:00,23.574167,27.8075,19.8575,29028.553,9.178235,0.70000005,85.98521,4.302572
2023-01-13 16:00:00+00:00,24.392914,29.7075,19.907501,32400.0,13.1041975,0.0,84.394264,5.6980643
2023-01-14 16:00:00+00:00,24.186668,28.8075,22.0575,23228.73,12.429127,22.699999,90.37268,6.1814423
2023-01-15 16:00:00+00:00,24.170004,28.3575,22.1075,31130.127,11.304229,9.3,86.52133,8.345335
2023-01-16 16:00:00+00:00,23.06167,26.8075,21.5075,10120.089,12.015589,10.9,90.682526,9.635894
2023-01-17 16:00:00+00:00,22.80542,25.5075,21.7075,1753.3495,13.32,10.3,89.8415,9.597411
2023-01-18 16:00:00+00:00,23.301249,25.9575,20.8575,29950.715,14.81259,2.1,82.591866,9.631061
2023-01-19 16:00:00+00:00,22.7575,25.0575,20.7575,1844.0833,12.397806,2.6999998,84.34139,7.4461694
2023-01-20 16:00:00+00:00,22.734587,25.2575,20.2075,473.76962,9.693296,0.3,84.15701,7.3012033
2023-01-21 16:00:00+00:00,23.792915,27.657501,21.7575,27062.998,6.6185193,2.4,87.01287,4.2023716
2023-01-22 16:00:00+00:00,24.224169,29.2575,20.0575,33263.168,15.646544,0.3,84.48,4.974626
2023-01-23 16:00:00+00:00,23.161673,26.907501,21.0075,31132.64,23.803596,4.2999997,84.69743,13.857581
2023-01-24 16:00:00+00:00,20.451248,22.4575,18.4575,1492.4132,16.854767,12.6,85.401955,10.899802
2023-01-25 16:00:00+00:00,21.784582,25.5575,18.5075,32494.777,11.525623,0.2,80.10736,7.757891
