date_cleaned,academic_period,normalized_symptoms,course_mapped,age,gender,visit_count,respiratory_count,digestive_count,pain_count,fever_count,other_count,student_visits,staff_visits,other_visits,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,sunshine_duration,wind_speed_10m_max,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_mean,pm10_mean,pm10_max,pm10_min,pm2_5_mean,pm2_5_max,pm2_5_min,carbon_monoxide_mean,carbon_monoxide_max,carbon_monoxide_min,nitrogen_dioxide_mean,nitrogen_dioxide_max,nitrogen_dioxide_min,ozone_mean,ozone_max,ozone_min,aqi_category,high_pm2_5,high_pm10,high_ozone,respiratory_risk_score,pm10_mean_7day,pm2_5_mean_7day,ozone_mean_7day,temperature_range,heat_humidity_index,is_rainy_day,is_hot_day,is_humid_day,is_high_pollution,is_very_high_pollution
2023-01-14,midterm,dizziness,['bscrim'],19.0,['Female'],1,0,0,0,0,1,1,0,0,,,,,,,,,,22.49,31.3,13.8,14.95,21.1,9.2,194.79,277.0,131.0,4.63,12.0,0.25,37.29,64.0,22.0,good,False,False,False,0,20.08,12.66,50.13,,,False,False,False,False,False
2023-01-16,midterm,"malaise,cold,lbm,malaise","['bsit', 'bapos', 'bslm', 'bscrim']",21.5,"['Female', 'Female', 'Male', 'Male']",4,1,1,0,1,1,4,0,0,,,,,,,,,,9.15,13.2,6.8,5.9,7.9,4.5,122.67,180.0,98.0,1.09,2.05,0.25,51.17,65.0,45.0,good,False,False,False,0,16.66,10.64,49.36,,,False,False,False,False,False
2023-01-17,midterm,"cough,stomach ache,sprain,infection,cold","['bsit', 'bse', 'bse', 'baels', 'bsentrep']",,"['Female', 'Female', 'Female', 'Female', 'Male']",5,2,1,0,1,1,5,0,0,,,,,,,,,,13.42,17.5,9.2,8.33,11.3,5.7,218.88,231.0,188.0,1.51,2.75,0.8,51.92,62.0,45.0,good,False,False,False,0,15.93,10.11,49.56,,,False,False,False,False,False
2023-01-30,midterm,fever,['bscrim'],21.0,['Female'],1,0,0,0,1,0,1,0,0,,,,,,,,,,15.34,20.1,9.3,9.42,12.3,6.0,185.42,212.0,163.0,1.3,2.25,0.5,55.04,67.0,45.0,good,False,False,False,0,17.65,10.98,56.67,,,False,False,False,False,False
2023-03-16,finals,"cold,dizziness,lbm,headache,cough,cough","['bsit', 'others', 'bapos', 'bsma', 'staff']",20.5,"['Male', 'Female', 'Female', 'Male', 'Female', 'Male']",6,2,1,1,0,2,3,1,1,,,,,,,,,,17.68,27.4,8.7,11.16,17.5,5.3,136.58,192.0,103.0,2.56,7.6,0.2,51.0,68.0,40.0,good,False,False,False,0,16.38,10.46,54.16,,,False,False,False,False,False
2023-03-27,finals,"skin allergy,body pain,headache,lbm,lbm,lbm,lbm",[],20.0,"['Female', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female']",7,0,1,2,0,4,0,0,0,,,,,,,,,,17.79,26.1,10.7,12.07,18.0,7.1,140.08,155.0,123.0,0.94,1.4,0.3,49.21,60.0,29.0,good,False,False,False,0,17.34,11.56,40.94,,,False,False,False,False,False
2023-03-28,finals,"headache,lbm,lbm,body pain",[],37.0,"['Male', 'Female', 'Male', 'Male']",4,0,1,2,0,1,0,0,0,,,,,,,,,,21.0,33.2,9.9,14.0,22.5,6.5,152.38,167.0,138.0,0.97,1.3,0.3,49.62,60.0,40.0,good,False,False,False,0,18.71,12.5,43.89,,,False,False,False,False,False
2023-03-29,finals,"cough,sprain,sprain,allergy,headache,hematoma,allergy,allergy,sprain,sprain,sprain,headache,cough",[],,"['Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Female']",13,1,0,1,0,11,0,0,0,,,,,,,,,,21.82,38.6,8.0,14.28,25.8,5.2,155.75,168.0,146.0,1.37,3.9,0.3,42.38,55.0,28.0,good,False,False,False,0,20.05,13.46,45.13,,,False,False,False,False,False
2023-03-30,finals,"body pain,body pain,sprain,body pain",[],,"['Male', 'Male', 'Female', 'Male']",4,0,0,1,0,3,0,0,0,,,,,,,,,,17.74,28.8,7.6,11.6,18.6,4.9,158.88,185.0,141.0,2.32,5.2,0.3,43.21,58.0,31.0,good,False,False,False,0,20.35,13.66,48.15,,,False,False,False,False,False
2023-04-12,finals,headache,['others'],21.0,['Female'],1,0,0,1,0,0,0,0,1,,,,,,,,,,27.59,46.7,13.0,17.93,30.4,8.9,209.96,308.0,153.0,2.64,7.8,0.4,53.79,81.0,31.0,moderate,False,False,False,0,21.2,13.83,62.11,,,False,False,False,False,False
