year_week,week_start_date,academic_period,symptoms_combined,courses_list,avg_age,genders_list,week_start,week_end,visit_count,respiratory_count,digestive_count,pain_count,fever_count,other_count,student_visits,staff_visits,other_visits,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,sunshine_duration,pm2_5_mean,pm10_mean,ozone_mean,carbon_monoxide_mean,nitrogen_dioxide_mean,respiratory_risk_score,aqi_category,temperature_range,heat_humidity_index,is_rainy_week,is_hot_week,is_humid_week,is_high_pollution,is_very_high_pollution,weather_stress_score
2024-W03,2024-01-22,midterm,"malaise,auri,cough,auri,cough,fever,cough,cough,dizziness,dysmenorrhea,dizziness,headache,auri,auri,body pain,cut,cut,cold,cough,cold,cold,cold,cold,cold,cold,cold,cold,headache,epigastric pain,stomach ache,dysmenorrhea,uti,uti,uti","['bscrim', 'bscrim', 'bscrim', 'bscrim', 'bscrim', 'staff', 'beed', 'bsba', 'bslm', 'bse', 'bsit', 'bsentrep', 'bsba', 'staff', 'staff', 'staff', 'others', 'staff', 'staff', 'staff', 'staff', 'bsentrep', 'bsentrep', 'bscrim', 'bsba', 'bsba', 'bsba']",19.88235294117647,"['Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female']",2024-01-22,2024-01-25,28.0,3.0,2.0,3.0,2.0,24.0,18.0,8.0,1.0,22.23,28.81,16.96,80.71,13.5,9.08,209061.33,8.95,14.63,56.46,229.27,2.42,0.0,good,11.849999999999998,17.941833,True,False,True,False,False,2
2024-W04,2024-01-29,midterm,"auri,infection,hyperacidity,headache,dizziness,cold,cough,lbm,auri,fever,dizziness,runny nose,cough,lbm,headache,hyperacidity,lbm,headache,auri,uti,infection","['bsit', 'bsit', 'bse', 'staff', 'bsitautotech', 'staff', 'bscrim', 'staff', 'ccsict', 'bsba', 'others', 'others', 'others', 'others', 'ced', 'staff', 'staff', 'bscrim']",25.0,"['Male', 'Male', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female']",2024-01-29,2024-01-31,20.0,4.0,2.0,1.0,2.0,12.0,9.0,5.0,4.0,23.84,30.86,17.51,79.43,5.2,5.99,259888.73,10.94,18.4,59.53,258.28,3.71,0.0,good,13.349999999999998,18.936112,False,False,False,False,False,0
2024-W05,2024-02-05,finals,"cold,cold,cold,cough,cold,cold,menstrual cramps,cold,cold,cold","['staff', 'staff', 'others', 'bsba', 'staff', 'staff', 'staff', 'staff', 'staff']",20.0,"['Female', 'Female', 'Male', 'Female', 'Female', 'Female', 'Male', 'Female', 'Female']",2024-02-06,2024-02-06,9.0,2.0,0.0,1.0,0.0,7.0,1.0,7.0,1.0,24.48,30.66,18.61,78.17,11.1,6.69,255918.82,7.97,12.08,47.46,226.63,3.41,0.0,good,12.05,19.136016,True,False,False,False,False,1
2024-W06,2024-02-12,finals,,[],20.0,[],2024-02-12,2024-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.23,30.46,17.76,76.6,5.4,7.03,246716.99,11.49,18.86,58.89,261.58,3.02,0.0,good,12.7,18.56018,False,False,False,False,False,0
2024-W07,2024-02-19,finals,,[],20.0,[],2024-02-19,2024-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.67,31.71,19.41,74.96,4.9,7.4,270596.97,9.84,15.42,46.08,216.32,4.15,0.0,good,12.3,19.242232,False,False,False,False,False,0
2024-W08,2024-02-26,finals,,[],20.0,[],2024-02-26,2024-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.92,31.51,18.86,74.52,13.1,7.73,257435.71,10.61,17.29,54.08,229.35,3.26,0.0,good,12.650000000000002,18.570384,True,False,False,False,False,1
2024-W09,2024-03-04,finals,"sprain,asthma,cough,fever,runny nose,cold,cough,dizziness,headache,cold,cough","['bse', 'bscrim', 'bscrim', 'bsemc']",19.666666666666668,"['Female', 'Female', 'Female', 'Female', 'Female']",2024-03-05,2024-03-06,5.0,4.0,0.0,1.0,1.0,5.0,4.0,0.0,0.0,25.21,32.96,20.31,79.48,22.7,7.14,213667.33,9.99,15.17,48.39,228.03,2.97,0.0,good,12.650000000000002,20.036908000000004,True,True,False,False,False,2
2024-W10,2024-03-11,finals,dizziness,['bscrim'],21.0,['Female'],2024-03-12,2024-03-12,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.51,31.51,20.36,75.39,12.7,6.23,240269.76,15.02,25.16,70.55,284.94,2.39,0.0,good,11.150000000000002,19.231989000000002,True,False,False,False,False,1
2024-W11,2024-03-18,finals,"uti,allergy,headache","['bsentrep', 'bat', 'beed']",23.0,"['Female', 'Female', 'Female']",2024-03-20,2024-03-21,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,25.44,32.81,18.81,74.31,16.1,7.6,259745.94,14.01,22.48,60.36,263.54,3.45,0.0,good,14.000000000000004,18.904464,True,True,False,False,False,2
2024-W12,2024-03-25,finals,,[],20.0,[],2024-03-25,2024-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.33,34.31,21.26,76.68,33.9,5.54,257447.61,9.09,13.85,39.27,213.99,3.7,0.0,good,13.05,20.956644,True,True,False,False,False,2
2024-W13,2024-04-01,finals,,[],20.0,[],2024-04-01,2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.85,35.11,20.21,68.03,0.7,5.91,293650.49,7.83,11.72,33.41,190.7,3.63,0.0,good,14.899999999999999,18.946355,False,True,False,False,False,1
2024-W14,2024-04-08,finals,,[],20.0,[],2024-04-08,2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.99,35.71,23.06,65.97,4.4,6.01,292739.08,11.22,16.96,36.9,193.74,3.96,0.0,good,12.650000000000002,19.124702999999997,False,True,False,False,False,1
2024-W15,2024-04-15,finals,,[],20.0,[],2024-04-15,2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78,36.76,22.11,61.02,0.0,5.65,297460.32,8.46,12.41,39.81,206.3,3.38,0.0,good,14.649999999999999,18.171756000000002,False,True,False,False,False,1
2024-W16,2024-04-22,finals,"headache,dysmenorrhea,abrasion,cough,body pain","['beed', 'staff', 'bscrim', 'bsitautotech']",22.0,"['Female', 'Female', 'Male', 'Male', 'Male']",2024-04-23,2024-04-25,5.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,29.98,37.96,22.01,68.13,21.8,5.75,290616.73,8.6,12.68,35.54,202.82,3.67,0.0,good,15.95,20.425373999999998,True,True,False,False,False,2
2024-W17,2024-04-29,finals,,[],20.0,[],2024-04-29,2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.94,38.46,24.56,60.34,0.0,6.44,298829.38,7.62,11.39,34.86,183.64,3.42,0.0,good,13.900000000000002,18.669196000000003,False,True,False,False,False,1
2024-W18,2024-05-06,break,"headache,headache,auri,body pain,cold","['staff', 'bsit', 'bshm', 'bscrim']",20.0,"['Female', 'Female', 'Female', 'Male']",2024-05-05,2024-05-10,4.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,29.45,38.06,23.81,69.45,36.5,6.93,268795.58,7.43,11.64,44.67,195.25,2.68,0.0,good,14.250000000000004,20.453025,True,True,False,False,False,2
2024-W19,2024-05-13,break,"fever,cut,auri","['staff', 'staff', 'bsba']",18.0,"['Female', 'Male', 'Female']",2024-05-13,2024-05-13,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,27.51,37.11,23.71,84.1,79.0,4.35,235730.39,7.59,11.05,37.98,200.18,3.33,0.0,good,13.399999999999999,23.13591,True,True,True,False,False,3
2024-W20,2024-05-20,break,"sprain,auri,cold,cough,headache,malaise","['bsit', 'bsba', 'bse', 'bscrim', 'bscrim']",19.4,"['Male', 'Female', 'Female', 'Female', 'Female']",2024-05-21,2024-05-24,5.0,3.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,28.41,34.86,24.01,81.64,66.2,4.85,227540.91,8.92,13.28,35.02,197.95,4.33,0.0,good,10.849999999999998,23.193924,True,True,True,False,False,3
2024-W21,2024-05-27,break,"hyperacidity,abrasion,body pain,body pain,diarrhea,cold,dysmenorrhea,infection,lbm,lbm,dizziness,hematoma,cold,infection,skin allergy,cold,cough,lbm,cut,dizziness,headache,malaise,cough,sprain,lbm,stomach ache,auri","['bscrim', 'beed', 'bscrim', 'bscrim', 'bscrim', 'bsit', 'bscrim', 'bscrim', 'bscrim', 'beed', 'bsba', 'bsit', 'bsba', 'bsba', 'bsentrep', 'bsitautotech', 'bsba', 'bsma', 'bsba', 'staff', 'bscrim']",20.45,"['Male', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Female', 'Female', 'Female', 'Male']",2024-05-27,2024-05-31,21.0,3.0,4.0,3.0,2.0,15.0,20.0,1.0,0.0,28.85,35.26,24.36,80.83,60.8,5.4,241586.74,10.54,15.56,42.81,192.97,3.32,0.0,good,10.899999999999999,23.319455,True,True,True,False,False,3
2024-W22,2024-06-03,break,"cold,headache,cold,toothache,epigastric pain,dysmenorrhea,hematoma,lbm,hyperacidity,dizziness,auri,dysmenorrhea,body pain,dysmenorrhea,dizziness,headache,dizziness,cough,headache,headache,cough,headache,lbm,headache,headache,hyperacidity,auri,infection","['bapos', 'staff', 'bsba', 'bstm', 'bsemc', 'beed', 'bscrim', 'bsit', 'bse', 'ced', 'bsemc', 'bsit', 'bsit', 'bsit', 'bsit', 'bstm', 'bslm', 'bslm', 'bsentrep', 'bsit', 'baels', 'baels', 'bsit', 'bsentrep', 'bscs']",21.95,"['Male', 'Female', 'female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Female', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Male']",2024-06-03,2024-06-07,25.0,3.0,3.0,4.0,1.0,17.0,24.0,1.0,0.0,27.48,35.11,23.71,86.54,84.8,4.1,234621.81,10.45,15.17,47.1,189.98,3.06,0.0,good,11.399999999999999,23.781192,True,True,True,False,False,3
