dow,visits_lag1,visits_lag7,visits_rollmean7,resp_lag1,resp_rollmean7,digest_lag1,digest_rollmean7,temp,humidity,rainfall,pm2_5,visit_count
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.167915,76.04171,0.5,9.72,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.992918,80.110146,0.3,13.39,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.71375,82.54229,4.2999997,14.78,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.107504,82.65484,2.0000002,9.05,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.182503,84.51766,5.4999995,9.94,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.857498,78.79246,2.7,11.78,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.624166,74.1686,0.2,10.06,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.247084,72.52246,0.1,11.05,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.863752,77.18171,0.1,11.3,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.278336,79.582146,0.5,13.89,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.672083,82.8082,10.300001,10.74,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.888748,75.04451,0.0,6.32,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.72,77.521576,1.0000001,11.69,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.170004,84.83579,9.099999,11.34,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.851248,77.134445,0.2,8.19,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.417917,77.75009,0.8000001,11.18,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.04917,74.69964,0.70000005,11.32,0.0
3,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.14285714285714285,24.984581,74.33405,0.1,11.16,6.0
4,6.0,0.0,0.8571428571428571,2.0,0.2857142857142857,1.0,0.14285714285714285,25.08875,75.67869,0.0,9.41,0.0
5,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.14285714285714285,25.905418,70.392876,0.0,11.65,0.0
6,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.14285714285714285,25.017916,75.19162,0.0,10.34,0.0
0,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.14285714285714285,25.80542,76.0976,0.0,13.16,0.0
1,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.14285714285714285,26.276247,74.91982,0.0,11.13,0.0
2,0.0,0.0,0.8571428571428571,0.0,0.2857142857142857,0.0,0.14285714285714285,26.586668,71.63838,0.0,13.39,0.0
3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,27.51375,73.62403,0.1,10.36,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.842918,74.55274,1.2,9.38,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.499166,78.00867,0.8,9.37,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.832504,74.29603,0.4,10.19,0.0
0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,26.653336,75.43993,0.8,12.07,7.0
1,7.0,0.0,1.5714285714285714,0.0,0.0,1.0,0.2857142857142857,26.688751,78.27079,1.9000001,14.0,4.0
2,4.0,0.0,3.4285714285714284,0.0,0.14285714285714285,1.0,0.2857142857142857,27.688751,72.71035,0.6,14.28,13.0
3,13.0,0.0,4.0,1.0,0.14285714285714285,0.0,0.2857142857142857,26.83042,79.392555,8.500001,11.6,4.0
4,4.0,0.0,4.0,0.0,0.14285714285714285,0.0,0.2857142857142857,26.488749,82.09967,1.0000001,16.02,0.0
5,0.0,0.0,4.0,0.0,0.14285714285714285,0.0,0.2857142857142857,25.792917,82.479,15.499999,16.03,0.0
6,0.0,0.0,4.0,0.0,0.14285714285714285,0.0,0.2857142857142857,25.51375,83.52055,2.5,11.63,0.0
0,0.0,7.0,3.0,0.0,0.14285714285714285,0.0,0.14285714285714285,26.076254,71.0491,0.5,21.7,0.0
1,0.0,4.0,2.4285714285714284,0.0,0.14285714285714285,0.0,0.0,26.6325,66.47738,0.0,17.23,0.0
2,0.0,13.0,0.5714285714285714,0.0,0.0,0.0,0.0,27.03875,67.55372,0.0,18.14,0.0
3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,27.363749,66.50505,0.2,17.42,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.013754,76.515785,4.299999,12.78,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.692917,72.74376,2.7,10.28,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.978338,73.15654,0.3,10.09,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.578333,71.24858,1.1,14.49,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.27417,83.16504,27.600002,18.74,0.0
2,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,26.280418,88.538475,13.9,17.93,1.0
3,1.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,27.144999,81.16783,2.4,7.23,0.0
4,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,26.901247,81.88868,12.900001,10.57,0.0
5,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,26.099165,87.20832,8.2,17.79,0.0
6,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,26.082499,85.34732,7.2000003,22.82,0.0
0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,26.774164,84.21173,3.3,17.89,1.0
1,1.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,28.14292,77.77102,0.1,9.66,0.0
2,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,28.224167,77.3751,1.8000001,7.9,0.0
3,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,27.105421,82.22341,12.700001,12.24,0.0
4,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,27.419998,79.09733,0.4,20.82,0.0
5,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,26.54917,83.366394,8.6,22.37,0.0
6,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,26.953337,76.011986,1.3000001,27.15,0.0
0,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,27.230415,70.42523,0.70000005,11.6,1.0
1,1.0,0.0,0.5714285714285714,0.0,0.2857142857142857,1.0,0.14285714285714285,27.309586,76.998665,5.1,12.4,3.0
2,3.0,0.0,0.8571428571428571,2.0,0.42857142857142855,0.0,0.14285714285714285,27.686668,72.48626,0.6,10.73,2.0
3,2.0,0.0,1.0,1.0,0.42857142857142855,0.0,0.14285714285714285,28.497084,67.45511,0.4,9.59,1.0
4,1.0,0.0,1.0,0.0,0.42857142857142855,0.0,0.14285714285714285,28.488752,72.18209,1.0,11.59,0.0
5,0.0,0.0,1.0,0.0,0.42857142857142855,0.0,0.14285714285714285,27.138748,81.82654,13.4,10.65,0.0
6,0.0,0.0,1.0,0.0,0.42857142857142855,0.0,0.14285714285714285,28.138754,75.72343,0.7,10.41,0.0
0,0.0,1.0,0.8571428571428571,0.0,0.42857142857142855,0.0,0.0,28.455414,71.03503,0.5,9.2,0.0
1,0.0,3.0,1.0,0.0,0.2857142857142857,0.0,0.14285714285714285,28.809586,67.376564,0.2,9.14,4.0
2,4.0,2.0,0.8571428571428571,1.0,0.14285714285714285,1.0,0.14285714285714285,28.878334,70.027054,1.0,10.05,1.0
3,1.0,1.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.14285714285714285,29.067917,69.30319,0.70000005,11.16,0.0
